County,2010,2011,2012,2013,2014
"Cleveland County, Oklahoma",256844,261905,266122,269890,269908
"Coal County, Oklahoma",5903,5942,5918,5817,5807
"Comanche County, Oklahoma",125448,126109,126611,125035,125033
"Cotton County, Oklahoma",6177,6158,6147,6153,6150
"Craig County, Oklahoma",15058,14935,14721,14666,14582
"Creek County, Oklahoma",70199,70650,70854,70698,70632
"Custer County, Oklahoma",27486,27730,28518,29295,29500
"Delaware County, Oklahoma",41527,41356,41373,41371,41446
"Dewey County, Oklahoma",4818,4755,4779,4817,4914
"Ellis County, Oklahoma",4155,4047,4075,4140,4150
"Garfield County, Oklahoma",60730,60669,61318,62509,63091
"Garvin County, Oklahoma",27533,27364,27270,27376,27561
"Grady County, Oklahoma",52485,52775,53054,53635,53854
"Grant County, Oklahoma",4536,4547,4510,4521,4501
"Greer County, Oklahoma",6203,6149,6056,6162,6151
"Harmon County, Oklahoma",2917,2929,2900,2869,2798
"Harper County, Oklahoma",3691,3706,3693,3833,3812
"Haskell County, Oklahoma",12746,12717,12867,12970,12896
"Hughes County, Oklahoma",14014,13849,13785,13746,13806
"Jackson County, Oklahoma",26472,26420,26261,26224,25998
"Jefferson County, Oklahoma",6454,6444,6335,6358,6292
"Johnston County, Oklahoma",10996,11086,11005,11026,11103
"Kay County, Oklahoma",46428,45799,45657,45543,45478
"Kingfisher County, Oklahoma",15050,15112,14996,15322,15532
"Kiowa County, Oklahoma",9430,9408,9343,9376,9336
"Latimer County, Oklahoma",11139,11114,10941,10718,10693
"Le Flore County, Oklahoma",50470,50227,49935,49847,49761
"Lincoln County, Oklahoma",34328,34329,34215,34339,34619
"Logan County, Oklahoma",42058,43097,43668,44401,45276
"Love County, Oklahoma",9434,9387,9563,9713,9773
"McClain County, Oklahoma",34731,35154,35587,36516,37313
"McCurtain County, Oklahoma",33182,33248,33229,33110,33050
"McIntosh County, Oklahoma",20282,20306,20522,20472,20088
"Major County, Oklahoma",7501,7611,7659,7673,7750
"Marshall County, Oklahoma",15844,15893,15913,15989,16182
"Mayes County, Oklahoma",41296,41289,41111,40908,40816
"Murray County, Oklahoma",13514,13616,13640,13709,13803
"Muskogee County, Oklahoma",71105,70725,70528,70269,69966
"Noble County, Oklahoma",11561,11549,11505,11379,11494
"Nowata County, Oklahoma",10513,10618,10582,10539,10524
"Okfuskee County, Oklahoma",12222,12299,12303,12291,12186
"Oklahoma County, Oklahoma",721094,730111,742635,755668,766215
"Okmulgee County, Oklahoma",40102,39795,39587,39451,39095
"Osage County, Oklahoma",47436,48332,48010,47924,47981
"Ottawa County, Oklahoma",31863,31928,32252,32280,32105
"Pawnee County, Oklahoma",16612,16806,16483,16527,16401
"Payne County, Oklahoma",77444,77970,78479,79457,80264
"Pittsburg County, Oklahoma",45803,45666,45131,44873,44626
"Pontotoc County, Oklahoma",37584,37697,38006,38073,38005
"Pottawatomie County, Oklahoma",69647,70148,70703,71190,71811
"Pushmataha County, Oklahoma",11585,11401,11233,11233,11125
"Roger Mills County, Oklahoma",3636,3796,3774,3741,3761
"Rogers County, Oklahoma",87024,87753,88445,89183,89815
"Seminole County, Oklahoma",25450,25485,25469,25476,25421
"Sequoyah County, Oklahoma",42448,42021,41466,41307,41358
"Stephens County, Oklahoma",45089,45104,44837,44977,44493
"Texas County, Oklahoma",20811,21203,21533,22073,21853
"Tillman County, Oklahoma",7981,7983,7784,7681,7628
"Tulsa County, Oklahoma",605092,608522,614460,622966,629598
"Wagoner County, Oklahoma",73393,74069,74997,75675,75702
"Washington County, Oklahoma",51080,51524,51710,51567,51937
"Washita County, Oklahoma",11595,11608,11638,11717,11547
"Woods County, Oklahoma",8892,8765,8832,9015,9288
"Woodward County, Oklahoma",19988,20096,20647,21225,21529
"Baker County, Oregon",16089,16041,15961,16096,16059
"Benton County, Oregon",85531,85983,86380,85960,86316
"Clackamas County, Oregon",376846,379671,383540,388457,394972
"Clatsop County, Oregon",37058,37183,37343,37121,37474
"Columbia County, Oregon",49340,49360,49208,49257,49459
"Coos County, Oregon",63010,62782,62690,62433,62475
"Crook County, Oregon",20891,20673,20636,20790,20998
"Curry County, Oregon",22364,22457,22249,22299,22335
"Deschutes County, Oregon",157828,159786,161746,165955,170388
"Douglas County, Oregon",107651,107267,107082,106810,106972
"Gilliam County, Oregon",1870,1947,1941,1938,1932
"Grant County, Oregon",7451,7404,7317,7273,7180
"Harney County, Oregon",7397,7362,7228,7152,7126
"Hood River County, Oregon",22442,22434,22628,22711,22885
"Jackson County, Oregon",203421,204754,206363,208091,210287
"Jefferson County, Oregon",21685,21688,21759,21827,22192
"Josephine County, Oregon",82835,82618,82782,83271,83599
"Klamath County, Oregon",66286,66292,66042,65848,65455
"Lake County, Oregon",7883,7921,7790,7837,7838
"Lane County, Oregon",351852,353491,354481,355661,358337
"Lincoln County, Oregon",45990,45844,46152,46300,46406
"Linn County, Oregon",116871,118117,118360,118644,119356
"Malheur County, Oregon",31332,30780,30606,30624,30359
"Marion County, Oregon",315910,317908,320085,322228,326110
"Morrow County, Oregon",11200,11192,11240,11266,11187
"Multnomah County, Oregon",737268,747977,758817,766082,776712
"Polk County, Oregon",75577,75955,76254,76618,77916
"Sherman County, Oregon",1772,1735,1735,1718,1710
"Tillamook County, Oregon",25251,25416,25326,25333,25342
"Umatilla County, Oregon",76045,76689,76920,76868,76705
"Union County, Oregon",25746,25888,25818,25539,25691
"Wallowa County, Oregon",7026,7000,6814,6805,6820
"Wasco County, Oregon",25259,25231,25457,25475,25515
"Washington County, Oregon",531345,539627,547737,555547,562998
"Wheeler County, Oregon",1449,1420,1426,1397,1375
"Yamhill County, Oregon",99312,99751,100771,100837,101758
"Adams County, Pennsylvania",101470,101649,101538,101457,101714
"Allegheny County, Pennsylvania",1223797,1227472,1230383,1232953,1231255
"Armstrong County, Pennsylvania",68822,68636,68362,68110,67785
"Beaver County, Pennsylvania",170590,170352,170224,170060,169392
"Bedford County, Pennsylvania",49740,49444,49399,49133,48946
"Berks County, Pennsylvania",411905,412580,413252,413652,413691
"Blair County, Pennsylvania",127030,127175,126999,126379,125955
"Bradford County, Pennsylvania",62588,63007,62813,62356,61784
"Bucks County, Pennsylvania",625326,626369,626189,626456,626685
"Butler County, Pennsylvania",184047,184721,185089,185369,185943
"Cambria County, Pennsylvania",143444,142566,141531,138900,137732
"Cameron County, Pennsylvania",5067,4987,4942,4894,4805
"Carbon County, Pennsylvania",65207,65106,64927,64690,64441
"Centre County, Pennsylvania",154182,154847,155582,157847,158742
"Chester County, Pennsylvania",499883,503626,506317,509500,512784
"Clarion County, Pennsylvania",39935,39888,39450,39092,38821
"Clearfield County, Pennsylvania",81560,81516,81503,81589,81191
"Clinton County, Pennsylvania",39230,39515,39730,39834,39745
"Columbia County, Pennsylvania",67329,66930,66924,67139,67122
"Crawford County, Pennsylvania",88672,88085,87660,87411,87175
"Cumberland County, Pennsylvania",235953,236920,239198,241268,243762
"Dauphin County, Pennsylvania",268281,269124,269857,271017,271453
"Delaware County, Pennsylvania",559026,559128,560916,561844,562960
"Elk County, Pennsylvania",31851,31797,31623,31455,31194
"Erie County, Pennsylvania",280720,280938,280801,279760,278443
"Fayette County, Pennsylvania",136468,136046,135479,134799,134086
"Forest County, Pennsylvania",7710,7746,7670,7602,7518
"Franklin County, Pennsylvania",149908,151004,151589,152191,152892
"Fulton County, Pennsylvania",14868,14778,14764,14694,14632
"Greene County, Pennsylvania",38612,38432,38084,37882,37843
"Huntingdon County, Pennsylvania",45998,46115,46018,45871,45750
"Indiana County, Pennsylvania",88810,88536,88209,88246,87706
"Jefferson County, Pennsylvania",45228,44958,44872,44977,44638
"Juniata County, Pennsylvania",24541,24923,24915,24790,24796
"Lackawanna County, Pennsylvania",214471,214582,214510,213834,212719
"Lancaster County, Pennsylvania",520317,523670,526766,530122,533320
"Lawrence County, Pennsylvania",91033,90386,89797,89306,88771
"Lebanon County, Pennsylvania",133728,134544,135582,135707,136359
"Lehigh County, Pennsylvania",350172,353653,355269,355768,357823
"Luzerne County, Pennsylvania",320952,321041,321276,319862,318829
"Lycoming County, Pennsylvania",116173,116669,117296,116732,116508
"McKean County, Pennsylvania",43354,43190,43234,42788,42554
"Mercer County, Pennsylvania",116571,116182,115747,115313,114884
"Mifflin County, Pennsylvania",46657,46787,46829,46701,46552
"Monroe County, Pennsylvania",169940,169860,168465,167130,166314
"Montgomery County, Pennsylvania",801066,805487,809618,813832,816857
"Montour County, Pennsylvania",18327,18379,18491,18535,18641
"Northampton County, Pennsylvania",298028,298332,299363,299747,300654
"Northumberland County, Pennsylvania",94351,94480,94556,94138,93944
"Perry County, Pennsylvania",46024,45891,45772,45621,45634
"Philadelphia County, Pennsylvania",1528544,1539313,1550396,1556052,1560297
"Pike County, Pennsylvania",57331,57515,56762,56614,56191
"Potter County, Pennsylvania",17474,17457,17625,17491,17206
"Schuylkill County, Pennsylvania",148225,147623,147288,146798,145797
"Snyder County, Pennsylvania",39741,39659,39796,40093,40323
"Somerset County, Pennsylvania",77693,77313,77110,76722,76218
"Sullivan County, Pennsylvania",6405,6450,6453,6352,6339
"Susquehanna County, Pennsylvania",43392,43119,42773,42334,41920
"Tioga County, Pennsylvania",42028,42417,42611,42458,42274
"Union County, Pennsylvania",44972,45069,45139,44719,44874
"Venango County, Pennsylvania",54945,54707,54235,53908,53529
"Warren County, Pennsylvania",41753,41476,41212,40944,40703
"Washington County, Pennsylvania",207891,208080,208431,208194,208187
"Wayne County, Pennsylvania",52883,52217,51685,51649,51401
"Westmoreland County, Pennsylvania",365063,364373,363100,361080,359320
"Wyoming County, Pennsylvania",28232,28290,28348,28142,28131
"York County, Pennsylvania",435543,436868,437699,439393,440755
"Bristol County, Rhode Island",49846,49284,49238,49263,49060
"Kent County, Rhode Island",166009,165306,164900,164923,165128
"Newport County, Rhode Island",83158,83003,82884,82457,82358
"Providence County, Rhode Island",626965,627922,629368,630171,631974
"Washington County, Rhode Island",127100,126505,126247,126540,126653
"Abbeville County, South Carolina",25345,25117,25065,25008,24965
"Aiken County, South Carolina",160589,161894,163426,164294,164753
"Allendale County, South Carolina",10353,10260,10004,9822,9695
"Anderson County, South Carolina",187322,188563,189365,190754,192810
"Bamberg County, South Carolina",15970,15864,15790,15440,15182
"Barnwell County, South Carolina",22614,22404,22294,22164,21959
"Beaufort County, South Carolina",162958,164106,167782,171569,175852
"Berkeley County, South Carolina",178934,183664,189493,193881,198205
"Calhoun County, South Carolina",15106,15170,14922,15078,14878
"Charleston County, South Carolina",351235,357737,365472,372913,381015
"Cherokee County, South Carolina",55511,55588,55671,55743,56024
"Chester County, South Carolina",33116,32841,32645,32601,32337
"Chesterfield County, South Carolina",46647,46605,46100,46189,46125
"Clarendon County, South Carolina",34949,34652,34269,34211,34113
"Colleton County, South Carolina",38911,38488,38230,37834,37771
"Darlington County, South Carolina",68636,68258,68165,67946,67799
"Dillon County, South Carolina",32087,31730,31447,31255,31127
"Dorchester County, South Carolina",137555,140081,142470,145287,148469
"Edgefield County, South Carolina",26951,26727,26328,26308,26553
"Fairfield County, South Carolina",23843,23576,23371,23143,22976
"Florence County, South Carolina",137077,137488,138060,138434,139231
"Georgetown County, South Carolina",60173,60196,60284,60520,60773
"Greenville County, South Carolina",452695,459009,466758,474223,482752
"Greenwood County, South Carolina",69713,69785,69833,69689,69520
"Hampton County, South Carolina",21056,20774,20719,20395,20405
"Horry County, South Carolina",270561,275490,281990,289527,298832
"Jasper County, South Carolina",24940,25418,25973,26710,27170
"Kershaw County, South Carolina",61678,62034,62232,62604,63161
"Lancaster County, South Carolina",76945,77758,79193,80520,83160
"Laurens County, South Carolina",66533,66419,66258,66207,66533
"Lee County, South Carolina",19202,18917,18669,18407,18343
"Lexington County, South Carolina",263325,266383,270114,273604,277888
"McCormick County, South Carolina",10230,10056,9949,9932,9846
"Marion County, South Carolina",32958,32760,32391,32013,31933
"Marlboro County, South Carolina",28907,28484,28157,27999,27924
"Newberry County, South Carolina",37559,37491,37563,37568,37783
"Oconee County, South Carolina",74364,74226,74583,74913,75192
"Orangeburg County, South Carolina",92312,91755,91429,90726,90090
"Pickens County, South Carolina",119215,119426,119656,119222,120368
"Richland County, South Carolina",385800,389600,393677,397893,401566
"Saluda County, South Carolina",19909,19867,19963,20100,20026
"Spartanburg County, South Carolina",284767,286092,288421,290818,293542
"Sumter County, South Carolina",107581,107350,108060,108002,107919
"Union County, South Carolina",28909,28655,28222,27982,27876
"Williamsburg County, South Carolina",34336,34113,33592,33066,32695
"York County, South Carolina",226913,230183,234566,239415,245346
"Aurora County, South Dakota",2709,2722,2751,2718,2745
"Beadle County, South Dakota",17412,17732,18000,18299,18169
"Bennett County, South Dakota",3442,3437,3438,3451,3430
"Bon Homme County, South Dakota",7059,7029,7038,7010,7023
"Brookings County, South Dakota",32020,32130,32686,33087,33314
"Brown County, South Dakota",36626,36931,37514,38162,38408
"Brule County, South Dakota",5266,5306,5304,5372,5309
"Buffalo County, South Dakota",1942,1986,2026,2033,2077
"Butte County, South Dakota",10126,10307,10238,10325,10298
"Campbell County, South Dakota",1474,1416,1389,1347,1386
"Charles Mix County, South Dakota",9145,9192,9210,9211,9287
"Clark County, South Dakota",3701,3596,3583,3628,3645
"Clay County, South Dakota",13846,14035,14091,13937,13932
"Codington County, South Dakota",27218,27399,27581,27855,27938
"Corson County, South Dakota",4067,4047,4082,4230,4182
"Custer County, South Dakota",8269,8335,8315,8424,8445
"Davison County, South Dakota",19515,19615,19798,19839,19885
"Day County, South Dakota",5715,5763,5636,5617,5588
"Deuel County, South Dakota",4348,4368,4368,4303,4312
"Dewey County, South Dakota",5329,5407,5544,5606,5662
"Douglas County, South Dakota",2993,2993,2972,3017,2973
"Edmunds County, South Dakota",4075,4061,4028,4035,3983
"Fall River County, South Dakota",7121,6984,6999,6837,6845
"Faulk County, South Dakota",2367,2374,2379,2380,2357
"Grant County, South Dakota",7346,7259,7268,7289,7241
"Gregory County, South Dakota",4258,4220,4248,4231,4217
"Haakon County, South Dakota",1923,1910,1909,1888,1847
"Hamlin County, South Dakota",5915,5950,5941,5952,5989
"Hand County, South Dakota",3429,3441,3385,3396,3345
"Hanson County, South Dakota",3348,3390,3394,3407,3419
"Harding County, South Dakota",1245,1294,1315,1264,1250
"Hughes County, South Dakota",17062,17283,17441,17466,17642
"Hutchinson County, South Dakota",7333,7195,7206,7170,7200
"Hyde County, South Dakota",1416,1395,1431,1387,1396
"Jackson County, South Dakota",3047,3172,3177,3231,3274
"Jerauld County, South Dakota",2084,2067,2040,2058,2007
"Jones County, South Dakota",1007,1020,1010,996,975
"Kingsbury County, South Dakota",5136,5176,5240,5080,5075
"Lake County, South Dakota",11275,11601,11832,12078,12368
"Lawrence County, South Dakota",24170,24303,24360,24899,24657
"Lincoln County, South Dakota",45150,46744,48302,49886,51548
"Lyman County, South Dakota",3770,3833,3793,3881,3877
"McCook County, South Dakota",5608,5568,5603,5647,5649
